City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,riyadh,24.6877,46.7219,301.23,32,0,5.98,SA,1698215402
135,flin flon,54.7682,-101.865,267.98,65,24,2.77,CA,1698215563
136,quellon,-43.1167,-73.6167,278.88,92,11,1.91,CL,1698215563
137,ilulissat,69.2167,-51.1,270.16,68,75,9.26,GL,1698215564
138,al kharijah,25.4514,30.5464,297.55,42,0,4.05,EG,1698215301
139,chibougamau,49.9168,-74.3659,279.94,100,100,1.54,CA,1698215354
140,kodiak,57.79,-152.4072,271.88,86,0,0.0,US,1698215334
141,altamont,42.2068,-121.7372,281.06,61,100,5.66,US,1698215565
142,enewetak,11.3474,162.3373,302.04,77,86,6.6,MH,1698215565
143,chonchi,-42.6128,-73.8092,279.33,97,19,1.28,CL,1698215566
144,mejit,10.2753,170.8646,301.16,79,34,5.48,MH,1698215566
145,byerazino,53.8391,28.9879,279.83,85,100,5.49,BY,1698215566
146,kimbe,-5.5502,150.1429,300.61,82,100,2.15,PG,1698215567
147,fale old settlement,-9.3852,-171.2468,301.9,77,19,7.48,TK,1698215567
148,udachny,66.4167,112.4,268.4,73,49,6.84,RU,1698215278
149,lospalos,-8.5186,127.0025,303.42,34,1,3.77,TL,1698215567
150,puerto deseado,-47.7503,-65.8938,283.74,52,12,4.96,AR,1698215568
151,walvis bay,-22.9575,14.5053,287.64,69,0,1.24,NA,1698215568
152,mount isa,-20.7333,139.5,311.02,10,0,5.66,AU,1698215568
153,alesund,62.4723,6.1549,280.56,92,0,3.09,NO,1698215569
154,grand gaube,-20.0064,57.6608,302.37,81,18,5.73,MU,1698215569
155,kerikeri,-35.2268,173.9474,293.1,79,99,2.57,NZ,1698215569
156,fuerte olimpo,-21.0415,-57.8738,298.82,60,8,1.28,PY,1698215570
157,praia da vitoria,38.7333,-27.0667,294.29,88,20,5.25,PT,1698215570
158,joroinen,62.1782,27.8317,268.7,74,17,1.14,FI,1698215570
159,pagar alam,-4.0167,103.2667,300.64,62,97,1.15,ID,1698215570
160,tsiombe,-25.3,45.4833,305.69,40,100,5.07,MG,1698215571
161,atafu village,-8.5421,-172.5159,302.45,73,8,6.5,TK,1698215274
162,belyy yar,53.6039,91.3903,280.09,61,0,5.0,RU,1698215572
163,talara,-4.5772,-81.2719,293.71,86,97,5.59,PE,1698215505
164,lisakovsk,52.5369,62.4936,281.46,93,100,7.95,KZ,1698215572
165,stanley,54.868,-1.6985,281.35,96,75,3.6,GB,1698215573
166,ginir,7.1333,40.7,291.6,76,97,2.57,ET,1698215573
167,hafar al-batin,28.4328,45.9708,299.47,36,40,6.17,SA,1698215573
168,sacramento,38.4666,-121.3177,290.9,81,0,3.6,US,1698215141
169,kasama,-10.2129,31.1808,302.97,31,100,3.64,ZM,1698215574
170,vadso,70.0744,29.7487,270.24,80,20,5.66,NO,1698215574
171,vorgashor,67.5833,63.95,260.09,94,10,2.43,RU,1698215575
172,qaqortoq,60.7167,-46.0333,273.11,52,1,2.77,GL,1698215575
173,lebu,-37.6167,-73.65,281.6,91,4,6.98,CL,1698215277
174,villupuram,11.9333,79.4833,305.12,43,44,0.6,IN,1698215576
175,yuzhno-kurilsk,44.0306,145.8556,286.69,69,6,3.29,RU,1698215576
176,malabar,-33.9667,151.25,296.65,67,75,6.17,AU,1698215576
177,moyale,3.5167,39.0584,298.61,60,74,5.23,KE,1698215577
178,college,64.8569,-147.8028,270.12,74,75,0.0,US,1698215577
179,gao,16.6362,1.637,300.27,14,6,4.47,ML,1698215577
180,sinop,41.7711,34.8709,288.39,65,30,3.4,TR,1698215332
181,tuy hoa,13.0833,109.3,302.08,75,76,3.26,VN,1698215578
182,gustavsberg,59.3268,18.3898,277.6,92,100,6.06,SE,1698215578
183,laguna,38.421,-121.4238,290.55,79,0,3.6,US,1698215579
184,coronel dorrego,-38.7187,-61.2873,277.89,77,0,3.39,AR,1698215579
185,al jawf,29.5,38.75,295.92,47,0,0.12,SA,1698215308
186,al bawiti,28.3492,28.8659,297.38,50,0,5.25,EG,1698215579
187,mao,39.8885,4.2658,292.46,63,20,4.63,ES,1698215308
188,pak phanang,8.3511,100.202,306.5,67,100,3.95,TH,1698215580
189,kalymnos,36.95,26.9833,295.89,73,0,1.54,GR,1698215580
190,sitka,57.0531,-135.33,275.09,55,0,2.57,US,1698215289
191,broken hill,-31.95,141.4333,291.79,21,4,10.48,AU,1698215418
192,tromso,69.6496,18.957,271.16,74,40,2.57,NO,1698215581
193,puerto baquerizo moreno,-0.9,-89.6,296.83,85,74,4.02,EC,1698215581
194,northam,51.0333,-4.2167,284.63,90,97,4.4,GB,1698215582
195,san juan,-31.5375,-68.5364,288.98,68,90,6.05,AR,1698215582
196,newman,37.3138,-121.0208,289.29,79,6,2.06,US,1698215582
197,heerlen,50.8837,5.9815,283.93,88,0,4.63,NL,1698215582
198,wanning,18.8003,110.3967,300.19,87,88,4.29,CN,1698215583
199,gorontalo,0.5412,123.0595,305.03,48,18,2.52,ID,1698215583
200,ghanzi,-21.5667,21.7833,302.84,8,0,7.51,BW,1698215583
201,papatowai,-46.5619,169.4708,290.82,53,100,3.58,NZ,1698215584
202,nova sintra,14.8667,-24.7167,297.46,72,1,6.86,CV,1698215584
203,kuqa,41.7278,82.9364,291.03,23,5,1.92,CN,1698215584
204,uturoa,-16.7333,-151.4333,300.09,74,76,5.78,PF,1698215585
205,saint-francois,46.4154,3.9054,286.86,68,0,5.66,FR,1698215585
206,kone,-21.0595,164.8658,296.64,82,92,3.15,NC,1698215311
207,mount pearl,47.5166,-52.7813,278.33,89,40,8.23,CA,1698215585
208,reggane,26.7158,0.1714,301.57,28,93,4.53,DZ,1698215586
209,coquimbo,-29.9533,-71.3436,285.0,93,75,2.06,CL,1698215584
210,ashland,40.8167,-82.2665,292.03,70,100,5.41,US,1698215587
211,miquelon,47.0975,-56.3814,283.08,69,59,9.15,PM,1698215587
212,shijiang,27.0819,110.7933,302.7,50,91,1.79,CN,1698215587
213,afaahiti,-17.75,-149.2833,298.08,82,72,6.37,PF,1698215588
214,butte,39.6499,-121.5677,292.16,68,0,3.6,US,1698215588
215,ghazni,33.5536,68.4269,288.1,27,0,1.9,AF,1698215588
216,tateyama,34.9833,139.8667,292.95,65,100,1.58,JP,1698215588
217,porangatu,-13.4408,-49.1486,298.66,56,98,0.31,BR,1698215589
218,farsan,32.2569,50.561,291.17,66,100,2.73,IR,1698215589
219,shalya,57.2471,58.7298,270.66,67,6,3.33,RU,1698215589
220,kismayo,-0.3582,42.5454,302.15,69,77,5.2,SO,1698215590
221,kirakira,-10.4544,161.9205,300.51,79,100,1.29,SB,1698215590
222,oriximina,-1.7656,-55.8661,298.13,75,20,1.3,BR,1698215590
223,linqiong,30.4159,103.4609,295.05,59,91,1.6,CN,1698215590
224,ketchikan,55.3422,-131.6461,279.14,60,0,4.63,US,1698215591
225,campanario,38.8644,-5.6174,288.78,87,87,4.38,ES,1698215591
226,cannonvale,-20.2833,148.7,297.81,66,0,3.77,AU,1698215592
227,iskateley,67.6803,53.1512,272.05,90,100,7.15,RU,1698215592
228,jalai nur,49.45,117.7,278.78,21,0,10.64,CN,1698215592
229,vernon,50.2581,-119.2691,278.49,81,93,1.54,CA,1698215294
230,sakaiminato,35.55,133.2333,295.14,56,40,5.14,JP,1698215593
231,lone grove,34.1754,-97.2628,294.25,96,100,2.06,US,1698215593
232,attapeu,14.8,106.8333,302.74,84,46,1.14,LA,1698215594
233,nemuro,43.3236,145.575,286.47,84,9,3.31,JP,1698215594
234,kapuskasing,49.4169,-82.4331,279.15,100,100,2.57,CA,1698215595
235,levuka,50.1834,-105.4011,266.05,86,100,2.66,CA,1698215595
236,goynuk,40.4003,30.7883,292.37,47,100,1.7,TR,1698215595
237,sattahip,12.6664,100.9007,306.47,74,20,3.6,TH,1698215595
238,beloyarskiy,63.7119,66.6722,270.37,84,100,1.79,RU,1698215596
239,okondja,-0.6549,13.6753,295.45,99,100,0.57,GA,1698215596
240,antonio enes,-16.2325,39.9086,304.47,46,0,5.24,MZ,1698215596
241,port blair,11.6667,92.75,303.17,74,75,2.06,IN,1698215597
242,hithadhoo,-0.6,73.0833,300.39,80,15,7.34,MV,1698215597
243,turabah,21.2141,41.6331,301.44,29,5,9.29,SA,1698215598
244,san antonio de pale,-1.4014,5.6325,299.01,81,100,4.44,GQ,1698215598
245,saint-pierre,-21.3393,55.4781,302.35,61,0,3.6,RE,1698215598
246,phon charoen,18.0333,103.1667,307.03,59,87,1.63,TH,1698215599
247,lorengau,-2.0226,147.2712,300.94,79,100,1.9,PG,1698215599
248,crane,31.3974,-102.3501,293.51,80,12,5.09,US,1698215599
249,colonia,50.9333,6.95,282.92,91,0,4.12,DE,1698215585
250,okhotsk,59.3833,143.3,266.2,79,10,5.1,RU,1698215600
251,colonia menno,-22.3667,-59.8167,296.11,93,34,5.4,PY,1698215600
252,dryden,49.7833,-92.7503,274.31,93,100,1.54,CA,1698215600
253,tofol,5.3248,163.0078,301.03,89,75,1.03,FM,1698215601
254,deogarh,21.5333,84.7333,304.52,46,48,1.58,IN,1698215601
255,altai,46.3722,96.2583,280.59,15,3,2.6,MN,1698215601
256,yeppoon,-23.1333,150.7333,304.03,68,0,5.26,AU,1698215602
257,cabo san lucas,22.8909,-109.9124,296.9,71,10,2.68,MX,1698215365
258,badger,64.8,-147.5333,270.08,74,75,0.0,US,1698215602
259,thohoyandou,-22.9456,30.485,293.0,71,99,4.57,ZA,1698215603
260,pasuquin,18.3328,120.6177,303.12,79,75,3.09,PH,1698215603
261,sao joao da barra,-21.6403,-41.0511,296.62,88,83,1.58,BR,1698215603
262,dunedin,-45.8742,170.5036,286.93,82,100,1.79,NZ,1698215603
263,yuma,32.7253,-114.6244,296.97,42,0,2.06,US,1698215411
264,lodja,-3.4833,23.4333,299.7,70,100,0.47,CD,1698215604
265,kalamata,37.0389,22.1142,293.77,61,100,1.03,GR,1698215604
266,konstantinovka,49.6167,127.9833,286.67,33,99,4.07,RU,1698215605
267,pisco,-13.7,-76.2167,291.49,88,20,1.54,PE,1698215605
268,issoudun,47.0,1.8333,286.98,88,100,10.29,FR,1698215605
269,utrik,11.2278,169.8474,300.89,75,45,5.07,MH,1698215606
270,severo-yeniseyskiy,60.3725,93.0408,269.03,83,100,4.47,RU,1698215606
271,sabang,5.8933,95.3214,300.54,74,96,1.2,ID,1698215606
272,cidreira,-30.1811,-50.2056,289.88,88,96,4.81,BR,1698215606
273,ataq,14.5377,46.8319,298.92,49,54,1.34,YE,1698215607
274,rongelap,11.1635,166.8941,301.65,79,15,6.92,MH,1698215607
275,yoichi,43.2039,140.7703,288.49,73,0,0.6,JP,1698215607
276,dapa,9.7594,126.0531,302.68,69,100,3.7,PH,1698215608
277,antofagasta,-23.65,-70.4,288.75,82,59,1.43,CL,1698215563
